lat;lon;Omset.Penjualan;Jarak Ke Indomaret
-7.24859;112.70581;300000;0.00089971
-7.25031;112.71392;300000;0.001377442
-7.32333;112.78306;300000;1.50E-05
-7.32444;112.78333;2000000;8.90E-06
-7.32917;112.76972;500000;0.000271659
-7.26271;112.76131;50000;0.000698403
-7.27917;112.75333;2000000;7.67E-05
-7.26444;112.76778;1500000;0.000498854
-7.26583;112.76667;5000000;0.000432476
-7.24961;112.70554;400000;0.000862264
-7.25346;112.71275;400000;0.001242908
-7.24843;112.70511;1000000;0.00086519
-7.25888;112.68198;500000;1.20E-06
-7.24847;112.70571;200000;0.000896978
-7.25384;112.71376;500000;0.00130889
-7.24965;112.70536;100000;0.000851589
-7.27139;112.75167;500000;2.30E-05
-7.27111;112.75361;700000;4.53E-05
-7.28972;112.79722;500000;8.96E-07
-7.27167;112.75444;600000;5.50E-05
-7.26917;112.76167;300000;0.00022561
-7.26861;112.76111;700000;0.000214221
-7.2875;112.75028;3000000;0.000220923
-7.30472;112.75861;400000;0.001139508
-7.30361;112.75639;200000;0.001024256
-7.30028;112.75722;700000;0.000847344
-7.27472;112.72528;200000;0.000194388
-7.26889;112.71444;300000;0.000184473
-7.27472;112.72083;1500000;0.000214666
-7.2725;112.72111;700000;0.000155247
-7.2775;112.725;200000;0.000279744
-7.25944;112.70694;1500000;5.90E-05
-7.25111;112.75;500000;2.50E-06
-7.26722;112.76417;2000000;0.000323147
-7.28111;112.75306;300000;0.000101283
-7.26694;112.75667;10000000;0.00012723
-7.32194;112.77361;200000;0.00016703
-7.32222;112.77222;200000;0.000200918
-7.33139;112.76528;2500000;0.000454079
-7.33417;112.76944;400000;0.000919213
-7.27083;112.72111;300000;0.000118884
-7.28167;112.7225;200000;0.000444513
-7.28167;112.72333;250000;0.000440498
-7.23667;112.62639;100000;7.18E-05
-7.33056;112.77944;1000000;6.26E-05
-7.23722;112.62833;50000;0.000108808
-7.27556;112.72583;300000;0.000218761
-7.23889;112.62583;300000;6.78E-05
-7.27694;112.72417;500000;0.000262571
-7.3375;112.72694;300000;8.70E-05
-7.27778;112.73083;1000000;0.000254982
-7.28639;112.74389;2000000;0.000741064
-7.32417;112.73611;3000000;0.000652288
-7.28056;112.71944;300000;0.000426068
-7.27861;112.71806;200000;0.00037089
-7.29944;112.75556;500000;0.000771458
-7.29361;112.70917;500000;2.72E-05
-7.3075;112.74111;300000;0.000757458
-7.31417;112.7375;300000;0.000424395
-7.26722;112.71361;100000;0.000178939
-7.29667;112.71889;500000;0.001027492
-7.31917;112.71778;500000;0.000323557
-7.31917;112.77556;500000;0.000152956
-7.26806;112.71389;100000;0.000183981
-7.33528;112.7025;150000;1.16E-05
-7.27917;112.71861;100000;0.000383477
-7.27917;112.71917;30000000;0.000376261
-7.27833;112.71944;1000000;0.000342812
-7.26389;112.72833;30000;1.87E-05
-7.26861;112.71778;200000;0.000118397
-7.33639;112.70167;300000;1.68E-05
-7.28139;112.72806;1000000;0.000432298
-7.32611;112.72861;600000;4.37E-05
-7.26278;112.63889;1200000;0.001452509
-7.26333;112.64111;600000;0.001294206
-7.28139;112.71917;500000;0.00046285
-7.26278;112.63917;300000;0.001434933
-7.27806;112.71833;500000;0.000347722
-7.27083;112.7525;200000;3.33E-05
-7.26167;112.64944;100000;0.000947371
-7.33472;112.71111;300000;0.000114369
-7.26167;112.67667;3000000;4.65E-05
-7.28139;112.72278;2000000;0.000431383
-7.30083;112.63278;200000;4.85E-06
-7.305;112.64389;100000;0.000141662
-7.32611;112.72806;200000;3.75E-05
-7.26833;112.71778;50000;0.000114089
-7.28194;112.72833;1000000;0.00045682
-7.28472;112.72722;1200000;0.00057679
-7.28083;112.72778;1500000;0.000408078
-7.27139;112.75361;1000000;4.44E-05
-7.28472;112.72694;200000;0.000575811
-7.27278;112.73917;100000;0.000169443
-7.28139;112.72889;250000;0.000437514
-7.27722;112.72361;1000000;0.000273317
-7.27889;112.71861;80000;0.000373256
-7.30972;112.79056;25000;0.000285954
-7.30972;112.79111;20000;0.000291395
-7.27694;112.7225;10000000;0.000269245
-7.27722;112.72417;1000000;0.0002717
-7.28944;112.76472;400000;0.001118759
-7.27667;112.72611;200000;0.000253166
-7.28194;112.72889;700000;0.00046049
-7.30944;112.79056;50000;0.000295134
-7.27833;112.71833;50000;0.000357127
-7.23833;112.72472;600000;0.000151751
-7.23861;112.72417;60000;0.000153264
-7.27667;112.72556;200000;0.000252614
-7.24806;112.72861;300000;6.90E-06
-7.27611;112.72611;500000;0.00023568
-7.27639;112.72556;300000;0.000243793
-7.27389;112.73056;350000;0.000147015
-7.27194;112.71306;1500000;0.00027523
-7.30389;112.74083;600000;0.000578894
-7.27667;112.72361;100000;0.000255533
-7.2775;112.72417;250000;0.000280986
-7.27667;112.72306;150000;0.000257731
-7.27778;112.72583;1500000;0.000289322
-7.27694;112.72611;100000;0.000261821
-7.27833;112.72639;150000;0.000309197
-7.27333;112.73833;100000;0.000170556
-7.27722;112.73306;2000000;0.000236849
-7.28417;112.74222;1500000;0.000600439
-7.27583;112.73111;300000;0.000196077
-7.27583;112.7325;500000;0.000195303
-7.32278;112.78167;200000;2.80E-05
-7.33722;112.77194;250000;0.00077883
-7.31278;112.75444;500000;0.000117425
-7.31222;112.75583;500000;9.19E-05
-7.33722;112.80278;850000;1.46E-05
-7.32194;112.7725;300000;0.000195521
-7.32111;112.77556;100000;0.000130327
-7.27944;112.71778;1500000;0.000405331
-7.26583;112.76611;5000000;0.000410914
-7.2635;112.64185;1000000;0.001244314
-7.27583;112.72667;300000;0.000228356
-7.26167;112.70694;200000;3.15E-05
-7.26194;112.70611;40000;2.55E-05
-7.27083;112.72167;1000000;0.000114467
-7.27111;112.72139;5000000;0.000122305
-7.27361;112.72083;10000000;0.000184946
-7.27611;112.72528;400000;0.00023508
-7.27667;112.72417;100000;0.000253916
-7.28167;112.7175;300000;0.000497846
-7.27222;112.71389;200000;0.000261874
-7.24;112.75778;500000;3.07E-05
-7.2375;112.76;250000;6.64E-05
-7.28194;112.71694;2000000;0.000518288
-7.27611;112.72694;2000000;0.000237658
-7.27556;112.72611;100000;0.000219117
-7.275;112.72389;200000;0.000204355
-7.27417;112.72528;400000;0.000179354
-7.27667;112.72667;100000;0.000254349
-7.27472;112.72361;2000000;0.000197355
-7.28194;112.72278;3000000;0.000454359
-7.2775;112.73111;100000;0.000313003
-7.27667;112.72389;50000;0.000254646
-7.27556;112.72472;400000;0.00021889
-7.27611;112.72306;100000;0.000240245
-7.28083;112.72861;300000;0.000412828
-7.27611;112.73389;50000;0.000308294
-7.28889;112.74361;2000000;0.000863425
-7.28139;112.71694;50000;0.000495312
-7.27556;112.72333;20000;0.000222527
-7.27417;112.72556;300000;0.000179403
-7.27417;112.725;30000;0.000179463
-7.27528;112.72333;150000;0.000214328
-7.27472;112.72389;30000;0.000196469
-7.31889;112.73806;1500000;0.000457054
-7.27167;112.71833;1000000;0.000167687
-7.33083;112.765;450000;0.000459944
-7.27833;112.72361;1500000;0.00031105
-7.30722;112.74472;1000000;0.000183304
-7.31472;112.79944;300000;0.000310245
-7.27667;112.72278;250000;0.000259082
-7.32639;112.73389;300000;0.000818304
-7.27139;112.71278;750000;0.000270205
-7.32361;112.76917;3000000;0.000285101
-7.27194;112.75389;3000000;4.66E-05
-7.30306;112.76278;50000;0.001430112
-7.30306;112.77528;500000;0.000701696
-7.27139;112.7125;200000;0.000277314
-7.305;112.74444;450000;0.000603484
-7.30444;112.7425;100000;0.000588468
-7.30556;112.74389;50000;0.000633866
-7.28083;112.71917;100000;0.000440078
-7.32417;112.73722;50000;0.000605356
-7.32194;112.73639;100000;0.000585089
-7.32611;112.73417;200000;0.000796279
-7.30556;112.76389;500000;0.001425725
-7.28139;112.72444;150000;0.000425662
-7.28167;112.72389;300000;0.000438568
-7.27194;112.72722;300000;0.000128155
-7.27167;112.7175;2000000;0.000180002
-7.27111;112.72111;100000;0.000124591
-7.27222;112.71972;500000;0.000162434
-7.2775;112.72278;100000;0.000286152
-7.27694;112.72222;150000;0.00027091
-7.31583;112.72972;300000;0.000226448
-7.28167;112.72361;30000;0.000439455
-7.26806;112.7175;400000;0.000114392
-7.27611;112.72361;3000000;0.000238047
-7.27528;112.72444;150000;0.000211112
-7.2325;112.75944;3000000;5.06E-05
-7.21833;112.76194;800000;0.000221306
-7.23444;112.76056;800000;3.98E-05
-7.23361;112.7575;1500000;8.33E-05
-7.23278;112.75972;500000;4.68E-05
-7.23333;112.75806;1000000;7.29E-05
-7.23417;112.75917;1500000;5.74E-05
-7.33611;112.77194;250000;0.010769781
-7.25028;112.76167;200000;0.00860875
-7.33833;112.76889;150000;0.009827868
-7.33722;112.8025;300000;0.000402442
-7.33306;112.71333;2000000;0.007471761
-7.33861;112.76917;500000;0.003785586
-7.27333;112.72167;1200000;0.009885983
-7.27028;112.71194;500000;0.000269674
-7.26972;112.71333;150000;0.000224043
-7.27194;112.72139;200000;0.000140145
-7.26972;112.71361;300000;0.0002174
-7.275;112.72417;15000;0.000203625
-7.27528;112.725;300000;0.000210426
-7.26833;112.72806;200000;6.45E-05
-7.24694;112.75972;1000000;0.000250477
-7.30667;112.74917;12000000;9.08E-05
-7.27222;112.72;200000;0.000159369
-7.26889;112.71333;350000;0.000209888
-7.25694;112.70472;300000;9.57E-05
-7.27639;112.725;300000;0.000243853
-7.27528;112.72389;300000;0.000212398
-7.31806;112.78389;3000000;6.66E-05
-7.27778;112.72722;1000000;0.000292635
-7.24833;112.62917;500000;0.00026397
-7.26583;112.69806;3000000;0.001101407
-7.26472;112.67722;300000;0.000425539
-7.26861;112.76583;1000000;0.000368387
-7.25028;112.75972;300000;0.00031263
-7.27639;112.72694;100000;0.000246323
-7.27722;112.72278;650000;0.000276866
-7.2775;112.7225;115000;0.00028766
-7.30028;112.75528;50000;0.000811992
-7.27722;112.72306;200000;0.000275515
-7.24139;112.61806;300000;2.29E-05
-7.24139;112.61694;200000;2.38E-05
-7.2425;112.62083;300000;4.32E-05
-7.24222;112.61944;300000;3.38E-05
-7.24139;112.61111;200000;6.92E-05
-7.24333;112.6125;400000;7.45E-05
-7.24306;112.6125;200000;7.09E-05
-7.24333;112.61333;500000;6.62E-05
-7.24083;112.61444;200000;2.99E-05
-7.24028;112.61556;200000;1.90E-05
-7.2425;112.61417;300000;4.87E-05
-7.24278;112.61472;100000;4.83E-05
-7.24111;112.61278;200000;4.66E-05
-7.24222;112.61083;300000;8.17E-05
-7.25722;112.60528;1000000;0.000584412
-7.24194;112.61694;300000;2.94E-05
-7.28972;112.76472;200000;0.00111868
-7.2775;112.72222;20000;0.000289326
-7.27083;112.71944;700000;0.000135779
-7.27083;112.71972;150000;0.000132557
-7.2775;112.72361;350000;0.000282603
-7.27444;112.725;500000;0.000186767
-7.275;112.72528;100000;0.000202274
-7.27528;112.72528;100000;0.000210317
-7.27444;112.72556;30000;0.000186708
-7.27;112.71417;300000;0.000209669
-7.34333;112.77972;35000000;0.000472453
-7.26694;112.71389;1000000;0.000168923
-7.32556;112.72722;300000;3.30E-05
-7.29611;112.74611;3000000;0.00024303
-7.30889;112.79694;500000;0.000413929
-7.33611;112.78139;750000;0.000338581
-7.33306;112.78083;1000000;0.000361311
-7.30833;112.79806;5000000;0.000459384
-7.27639;112.72222;900000;0.000253434
-7.27222;112.72056;500000;0.000153709
-7.27139;112.72083;400000;0.000132899
-7.27083;112.72083;700000;0.000121327
-7.27083;112.72056;500000;0.000123832
-7.27167;112.72083;500000;0.000138921
-7.26972;112.7125;300000;0.000244658
-7.27028;112.71278;500000;0.000247878
-7.27028;112.71306;100000;0.000240927
-7.27139;112.71417;500000;0.003448901
-7.30639;112.75028;1500000;0.005043368
-7.24583;112.77306;250000;0.002501271
-7.30583;112.74944;700000;0.005008402
-7.24444;112.76222;1000000;0.001627549
-7.27194;112.71972;700000;0.000156105
-7.27028;112.71417;10000000;0.00448936
-7.25806;112.76139;700000;0.00130747
-7.275;112.72111;700000;0.004027544
-7.26778;112.72389;100000;5.11E-05
-7.29417;112.71;3000000;2.06E-05
-7.30861;112.72167;1000000;0.000423743
-7.32583;112.72778;1000000;3.64E-05
-7.33778;112.72722;1000000;9.42E-05
-7.31667;112.71806;600000;0.000410316
-7.32583;112.73278;400000;0.000855363
-7.30667;112.74139;2000000;0.000710386
-7.30639;112.74139;1000000;0.000695825
-7.30472;112.74417;300000;0.000591088
-7.2675;112.70139;200000;0.000618471
-7.26861;112.7175;200000;0.000122705
-7.27917;112.71833;500000;0.000387321
-7.27889;112.71806;350000;0.000380954
-7.28167;112.72278;100000;0.000443004
-7.28139;112.72306;1000000;0.000430032
-7.27639;112.72472;300000;0.000244118
-7.27583;112.72306;1000000;0.000231737
-7.27611;112.72444;100000;0.000235875
-7.27944;112.71194;150000;0.000182013
-7.27833;112.72556;600000;0.000308132
-7.27889;112.72444;400000;0.000328851
-7.27583;112.72611;200000;0.000227173
-7.27472;112.72472;75000;0.000194762
-7.28;112.75083;60000;6.30E-05
-7.27722;112.72583;50000;0.000270593
-7.27917;112.71222;750000;0.000188012
-7.24222;112.77028;400000;1.94E-05
-7.26472;112.74;300000;7.08E-05
-7.32222;112.78167;3000000;3.19E-05
-7.32333;112.7825;1000000;1.85E-05
-7.3225;112.78222;2000000;2.55E-05
-7.32194;112.77333;100000;0.000173985
-7.32306;112.78306;500000;1.65E-05
-7.32333;112.78167;800000;2.48E-05
-7.32222;112.78306;300000;2.21E-05
-7.27472;112.72417;50000;0.000195739
-7.26;112.64583;400000;0.001189875
-7.23083;112.61028;3000000;0.001208737
-7.32806;112.67806;1000000;0.002736989
-7.235;112.60806;2000000;0.001134787
-7.23583;112.60806;400000;0.001101538
-7.30083;112.75722;200000;0.000877685
-7.34306;112.72667;1500000;0.000208391
-7.345;112.72472;200000;0.000254575
-7.32806;112.76972;500000;0.000265792
-7.32194;112.77278;400000;0.000188102
-7.3275;112.76972;1000000;0.000263767
-7.32222;112.77194;3000000;0.000208651
-7.33556;112.80167;100000;4.14E-06
-7.33417;112.76583;300000;0.001151083
-7.27583;112.71194;500000;0.000290943
-7.28889;112.72639;500000;0.000791414
-7.28778;112.71806;200000;0.000782021
-7.28778;112.72861;200000;0.000739857
-7.28278;112.72;600000;0.000512542
-7.28417;112.72028;200000;0.000572732
-7.27611;112.72583;200000;0.000235324
-7.32528;112.78278;300000;1.01E-05
-7.27833;112.72583;250000;0.000308327
-7.27972;112.75111;150000;6.13E-05
-7.27639;112.72139;700000;0.000259291
-7.27611;112.72111;300000;0.000252914
-7.24861;112.76583;1500000;0.000146687
-7.25333;112.75806;1000000;0.000437659
-7.275;112.72139;2000000;0.000217821
-7.27472;112.72139;50000;0.000209935
-7.3075;112.75278;10000000;3.55E-05
-7.30833;112.755;1000000;1.35E-05
-7.32472;112.735;10000000;0.00071681
-7.32667;112.73361;300000;0.000840643
-7.25722;112.76639;500000;0.000372671
-7.2575;112.75917;500000;0.000538782
-7.25028;112.76;700000;0.000304945
-7.27056;112.72222;250000;0.000105385
-7.27056;112.72056;900000;0.000118477
-7.27083;112.72306;200000;0.000106215
-7.27;112.72361;700000;8.80E-05
-7.27528;112.72556;100000;0.000210366
-7.27556;112.725;300000;0.000218625
-7.28889;112.72667;40000;0.000792084
-7.28722;112.72778;500000;0.000705177
-7.20139;112.7175;150000;0.003588269
-7.27972;112.71111;300000;0.000561111
-7.24917;112.76611;150000;0.008479378
-7.33222;112.76944;500000;0.000925819
-7.33417;112.76806;800000;0.001004773
-7.33278;112.77;500000;0.00088951
-7.33222;112.77;500000;0.000892185
